"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
In 1830 a guesthouse was built , with the support of G. De Boey and other benficiaries .	guesthouse	The control system for the Army Field Material Handling Robot ( FMR ) was also implemented in RCS-2 , as was the Army TMAP semi-autonomous land vehicle project .	vehicle	0
The flophouse received attention during this time after being featured in an NPR segment created by David Isay .	flophouse	His private motor vehicle had also been purchased with the help of certain businessmen , the parliamentarian claimed .	vehicle	0
Caff ( disambiguation ) A caff is a small , cheap British eatery or British cafe It may also refer to :	caff	It is a two-storey brick building with a shallow hipped roof with a small tented roof covered with dormers .	building	1
She is seen to be immature , sulky and klutzy , often breaking objects , and she keeps a diary .	sulky	Byblos is a restaurant serving Eastern Mediterranean and Moroccan food , located on Duncan Street near King Street West inside the Storys building in Toronto 's Entertainment District .	building	0
One of them is holding a flail and the other one a scythe .	scythe	The day 's events begin as the visiting dignitary arrives in a special vehicle at the Palacio Real in the Spanish capital of Madrid .	vehicle	0
One species not recognised by the handbook is the black-crowned pitta , which it treated as a subspecies of either the garnet pitta or the graceful pitta .	pitta	Order : PasseriformesFamily : Oxyruncidae The sharpbill is a small bird of dense forests in Central and South America .	bird	1
Phyllophaga Phyllophaga is a very large genus ( more than 900 species ) of New World scarab beetles in the subfamily Melolonthinae .	scarab	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
After his razorblade patent ran out in 1921 , he continued to develop newer razorblade technologies in an effort to protect his patent .	razorblade	For these reasons , CuproBraze is particularly suited for the off-road vehicle , truck , bus , industrial engine , generator , locomotive , and military equipment markets .	vehicle	0
The bigeye shiner is a sight feeder ; it preys mostly on small insects hovering at the water surface .	bigeye	The body of a fish is divided into a head , trunk and tail , although the divisions between the three are not always externally visible .	fish	1
"The community reportedly once had a bedbug problem so severe , the also infested church was known locally as "" Bedbug Church "" ."	bedbug	The mouthparts of different insect groups consist of a set of homologous organs , specialised for the dietary intake of that insect group .	insect	1
The first tramway in Lisbon entered service on 17 November 1873 , as a horsecar line .	horsecar	It is used for vehicle storage in Ferry Lane Industrial Estate and for the mechanical biological treatment works building of the East London Waste Authority .	vehicle	1
The British Waterfowl Association present a prize in his honour every year to someone who has made an outstanding contribution to British waterfowl .	waterfowl	Albicoccus Albicoccus is an extinct genus of scale insect in the extinct monotypic family Albicoccidae , containing a single species , Albicoccus dimai .	insect	0
The main location is a tenement in the neighborhood of La Boca where Esperanza lives with other characters .	tenement	The Clinic building is also home to the University 's Faculty of Medicine and Health Sciences .	building	1
The complex includes a ca. 1862 vernacular dwelling known as the Comus Inn , smokehouse , and barn , and a ca. 1936 poultry house .	smokehouse	Combining both of these concepts , the BML sequencer is a tool to allow artists to create SmartBody compliant BML animation sequences for multiple virtual humans .	tool	0
The LSLC also delivers services via a bookmobile .	bookmobile	Chrysler 's lower sales volumes meant that new development and implementation costs made up a larger proportion of a vehicle 's cost compared to Ford and General Motors .	vehicle	1
The day before the next divine service , Miss Carnaby meets Poirot in a local teashop .	teashop	The newly constructed building , in addition to providing updated facilities , changed the structure of the Calhoun Education System .	building	1
Grant , however , does not seem to have exceeded the license justly allowed a novelist of appropriating local colour for his fictions from graver writers .	graver	"Three months later , the second vehicle , named "" Resolution "" , was also completed ; it was promptly sold to the United States Navy ."	vehicle	0
"It made up the majority of the diet of the yellowtail amberjack ( "" Seriola lalandi "" ) in one survey ."	amberjack	This fish is often displayed in public aquariums .	fish	1
"The crest above the shield was a black "" moorcock "" representing Sale Moor ."	moorcock	The large communal fish pond was dug in 1492 .	fish	0
The glowworm swarm optimization is a swarm intelligence optimization algorithm developed based on the behaviour of glowworms ( also known as fireflies or lightning bugs ) .	glowworm	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
The hotel was built to serve middle-class guests , but it had advanced fireproofing , two restaurants , and a rathskeller .	rathskeller	( Jitsuyo Jidosha began producing a three-wheeled vehicle with an enclosed cab called the Gorham in 1920 , and the following year produced a four-wheeled version .	vehicle	0
"adz "" , derived from "" ."	adz	"The second version made its debut in 2002 with "" America 's Army "" , a free multiplayer shooter developed by the U.S. Army as a recruitment tool ."	tool	1
An emergency depot of provisions and a whaleboat were made on the nearby island .	whaleboat	The factory building features segmental arched window openings and a parapet .	building	0
Before Israel 's invasion , the town suffered from Israeli warplane attacks .	warplane	There were 33 starters in the event , with the field divided into four classes according to the retail price of each vehicle .	vehicle	1
Three subspecies are recognized : Like other toucans , the black-throated toucanet is brightly marked and has a large bill .	toucanet	Somers and his company remained in Bermuda for 10 months , living on food they could gather on the island and fish from the sea .	fish	0
His discovery in the 1960s that DDT residues could be found in adelie penguins contributed to the banning of DDT in the U.S.	adelie	The great shearwater feeds on fish and squid , which it catches from the surface or by plunge-diving .	fish	0
